# DL_YM,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,GD_LCLS_NM,GD_LCLS_CD,GD_MCLS_NM,GD_MCLS_CD,GD_SCLS_NM,GD_SCLS_CD,CTPV_NM,CTPV_CD,CTGG_NM,CTGG_CD,EMD_NM,EMD_CD,INVC_CONT
201904,식품,1006,농산물,10061006,잡곡/혼합곡,1.0061E+11,식음료품 및 담배,50,농산물,5001,곡물 및 두류,500102,서울특별시,11,종로구,11110,구기동,1111018200,43
201904,생활건강,1004,악기,10041011,악기기타,1.0041E+11,교육/게임/예술,60,악기,6002,악기 및 악기세트/부속품,600201,서울특별시,11,종로구,11110,부암동,1111018400,17
201904,디지털/가전,1003,영상가전,10031007,영상가전액세서리,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,영상기기 및 액세서리,520202,서울특별시,11,금천구,11545,가산동,1154510100,46
201904,생활건강,1004,악기,10041011,악기기타,1.0041E+11,교육/게임/예술,60,악기,6002,악기 및 악기세트/부속품,600201,서울특별시,11,종로구,11110,공평동,1111012700,3
201904,생활건강,1004,악기,10041011,악기기타,1.0041E+11,교육/게임/예술,60,악기,6002,악기 및 악기세트/부속품,600201,서울특별시,11,금천구,11545,가산동,1154510100,248
201904,디지털/가전,1003,영상가전,10031007,영상가전액세서리,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,영상기기 및 액세서리,520202,서울특별시,11,종로구,11110,묘동,1111015100,1
201904,화장품/미용,1010,기초화장품,10101001,마스크팩,1.0101E+11,의류/가방 및 개인신체관리용품,53,개인신체관리용품,5304,목욕 및 바디용품,530402,서울특별시,11,종로구,11110,공평동,1111012700,5
201904,화장품/미용,1010,기초화장품,10101001,마스크팩,1.0101E+11,의류/가방 및 개인신체관리용품,53,개인신체관리용품,5304,목욕 및 바디용품,530402,서울특별시,11,종로구,11110,구기동,1111018200,107
201904,생활건강,1004,수납/정리용품,10041009,정리용품,1.0041E+11,가구 및 홈데코,56,가정용 가구,5601,기타 홈데코 가구 및 액세서리,560104,서울특별시,11,금천구,11545,가산동,1154510100,419
201904,디지털/가전,1003,계절가전,10031002,온풍기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,금천구,11545,가산동,1154510100,10
201904,가구/인테리어,1001,침실제품,10011012,침구,1.0011E+11,가정용품 및 가전제품,52,침구 및 패브릭 제품,5206,침구,520601,서울특별시,11,종로구,11110,묘동,1111015100,6
201904,디지털/가전,1003,주방가전,10031012,분쇄조리기구,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,종로구,11110,공평동,1111012700,4
201904,디지털/가전,1003,계절가전,10031002,온풍기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,부암동,1111018400,1
201904,생활건강,1004,주방용품,10041020,제과/제빵용품,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식가공장비,520401,서울특별시,11,종로구,11110,구기동,1111018200,15
201904,생활건강,1004,생활용품,10041008,생활잡화,1.0041E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,종로구,11110,구기동,1111018200,20
201904,생활건강,1004,생활용품,10041008,생활잡화,1.0041E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,종로구,11110,공평동,1111012700,10
201904,생활건강,1004,생활용품,10041008,생활잡화,1.0041E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,금천구,11545,가산동,1154510100,293
201904,식품,1006,가공식품,10061001,축산가공식품,1.0061E+11,식음료품 및 담배,50,육류/축산물,5003,가공/조리육류,500302,서울특별시,11,종로구,11110,묘동,1111015100,4
201904,식품,1006,가공식품,10061001,축산가공식품,1.0061E+11,식음료품 및 담배,50,육류/축산물,5003,가공/조리육류,500302,서울특별시,11,종로구,11110,구기동,1111018200,98
201904,생활건강,1004,주방용품,10041020,제과/제빵용품,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식가공장비,520401,서울특별시,11,종로구,11110,묘동,1111015100,3
201904,디지털/가전,1003,주방가전,10031012,가스레인지/인덕션,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,주방용 가전기기,520101,서울특별시,11,종로구,11110,부암동,1111018400,1
